,smiles1,smiles2,score,uncertainty
55,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)/C=C/C(=O)O,0.6750874830603222,0.06325127081432837
56,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,O=C1NS(=O)(=O)c2ccccc12,0.3841663203413853,0.047569547798770935
57,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C1=CC=C(C=C1)C(=O)O,0.7279179759261056,0.0349550359978443
58,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CN1C(=O)N(C)C2=C(NC=N2)C1=O,0.1576323326591927,0.03984192460282438
59,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(CO)(CO)CO,0.687096352555647,0.07817973780439294
60,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OCC1OC(OC2C(O)C(O)C(O)OC2CO)C(O)C(O)C1O,0.10151552164555458,0.08903314720309573
61,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)CNC(=O)c1ccccc1,0.4839284634678189,0.05278151000513335
62,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NCC(O)=O,0.6269354066659736,0.043775938026749735
63,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(CCCNC(N)=N)C(O)=O,0.23644382030348857,0.07050610424363188
64,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,CC(O)=O,0.7894814610520199,0.048381284415991585
65,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)CC(O)(CC(O)=O)C(O)=O,0.5558905023582593,0.05388712922503627
66,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(=O)c1cccnc1,0.27451310465585765,0.13681661263524114
67,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,C([C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)O)O,0.6324250417744541,0.04388267984821269
68,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NCCCCC(N)C(=O)O,0.46732698863342675,0.08853722315899346
69,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,[C@@H]([C@H](C(=O)O)O)(C(=O)O)O,0.7061731055146855,0.07091651812345288
70,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(C(O)C(O)=O)C(O)=O,0.73134184506992,0.058625472178629665
71,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OC(=O)c1cc(O)ccc1O,0.7296600327403897,0.06465015234206359
72,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,OCC(O)=O,0.732107306947888,0.051312859672698316
73,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,O=C(N)CCC(N)C(=O)O,0.4485169046151311,0.08685400946483418
74,CC1CCC2C(C)C(=O)OC3OC4(C)CCC1C23OO4,NC(Cc1ccc(O)cc1)C(O)=O,0.47224730975374885,0.05563632434061612
