Id,HOMO-8,HOMO-7,HOMO-56,HOMO-5,HOMO-4,HOMO-3,HOMO-2,HOMO-1,HOMO,LUMO,LUMO+1,LUMO+2,LUMO+3,LUMO+4,LUMO+5,LUMO+6,LUMO+7,LUMO+8,color
c1ccc2cc3c4cccc5ccc6cccc(c3cc2c1)c6c45,-11.45648683,-11.27228394,-10.79578704,-10.42419877,-9.806892725,-9.651791719,-9.385475887,-8.632579112,-8.172740736,-1.190600964,-0.689224697,-0.046260193,0.126278421,0.217593426,0.674341174,0.967785442,1.36728124,1.921712671,0.501376267
O=C1C=Cc2ccc3C(=O)C=Cc4ccc1c2c34,-11.36703134,-11.36700194,-11.2850213,-10.30923918,-9.79937379,-9.654231882,-9.653860712,-8.320528604,-8.320425705,-1.056472862,-1.056384664,0.060070632,0.06023968,0.208045922,0.471190278,1.196036206,1.609077846,1.609188095,8.82E-05
c1cc2ccc3cccc4ccc(c1)c2c34,-11.63860235,-11.44503203,-11.37072834,-10.85198796,-10.34757619,-9.971713957,-8.905517193,-8.871534987,-7.814610107,-1.574801645,-0.545787963,-0.306843113,0.371003958,0.704957132,1.039057303,1.391583644,1.540694491,2.273856817,1.029013682
Cc1cccc2cccc(C)c12,-11.81777056,-11.35402204,-11.13793167,-10.87450067,-9.874397769,-9.768515286,-9.586469592,-9.088948341,-8.297104512,-0.95383168,-0.132331054,0.216016875,0.258657249,0.437781363,1.179487933,1.343827748,2.416080819,2.54435106,0.821500626
c1ccc2c(c1)ccc3ccc4ccccc4c23,-12.91522639,-12.05599879,-11.81236472,-11.50986539,-11.19001665,-11.01983367,-9.902922683,-9.068475229,-8.367229791,-0.956095446,-0.122416055,0.397871473,1.212301507,1.32668781,2.389797621,3.085648242,3.741140629,3.749030734,0.833679391
O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,-11.78995491,-11.59667491,-11.31888958,-11.01469978,-10.3550841,-9.761951836,-9.323321561,-8.673025545,-8.088286851,-0.727705034,-0.324670266,0.225138086,0.613473079,1.074546236,1.46418951,2.069298416,2.807958458,3.231514114,0.403034768
O=C1C=Cc2ccc3C=CC(=O)c4ccc1c2c34,-11.96161521,-11.79394222,-11.17958716,-10.90807128,-10.12967407,-9.816844473,-9.300217189,-8.70248022,-8.3764539,-0.918669817,-0.645062897,-0.111527196,0.296057153,0.536964423,1.13388923,1.360820688,1.899787956,2.499777666,0.27360692
ZINC000001598876,-11.63508175,-11.62988538,-11.27862322,-10.64419561,-10.06901912,-9.737208439,-9.246254313,-8.626982173,-8.548158302,-0.8036257,-0.664003557,-0.183052629,0.222639124,0.452470114,0.869043375,1.492843047,1.52703105,2.271155733,0.139622143
ZINC000001599943,-11.87602209,-11.59886518,-11.32363026,-11.19171447,-10.40517359,-10.00336992,-9.355069401,-8.689684065,-8.471837068,-0.740049171,-0.363227777,0.098326798,0.555008397,0.838791237,1.544803078,1.896440082,2.721306957,3.092189642,0.376821394
ZINC000001600920,-11.83709341,-11.42178433,-11.26072257,-10.93496452,-10.2849331,-9.858702083,-9.366682224,-8.73843587,-8.038822107,-0.721523779,-0.358700246,0.222811847,0.55153925,1.069574037,1.4402399,2.046888609,2.77120167,3.117634953,0.362823533
ZINC000001601908,-11.97324273,-11.63336923,-11.38767718,-11.28412828,-10.51776652,-9.98099319,-9.399558272,-8.787830791,-8.310562156,-0.860749027,-0.422850066,0.149746613,0.503059391,1.030428535,1.370673213,2.005920335,2.724610732,3.155663272,0.437898961
ZINC000001601911,-11.93527321,-11.63916829,-11.39044074,-11.20372051,-10.58875908,-9.934843245,-9.392046686,-8.789745437,-8.302591203,-0.853821758,-0.419263321,0.151161466,0.528908946,1.011282078,1.393182244,2.007614484,2.731718073,3.160503173,0.434558437
ZINC000001615334,-11.59761937,-10.53112126,-9.84514889,-9.832819454,-9.764516947,-9.746234101,-9.746079754,-9.404034353,-8.631807374,-0.568282294,0.093677994,0.241043243,0.246228589,0.297707203,0.298251094,0.376068031,0.912290115,2.317518825,0.661960288
ZINC000001615335,-11.05276484,-10.77419307,-9.851602092,-9.76762595,-9.740967907,-9.579329176,-9.558411395,-9.11224381,-8.232179278,-0.958579708,-0.146806658,0.231933057,0.232587197,0.269700455,0.273305575,0.473545917,1.167000474,1.333335783,0.81177305
ZINC000001661474,-11.99510865,-11.71460018,-11.44259921,-11.31524771,-10.72280633,-10.03619085,-9.53390687,-8.812309592,-8.415320106,-0.92930878,-0.452334141,0.095339069,0.467824029,0.955364132,1.336918854,1.954147725,2.687258602,3.118403016,0.476974639
ZINC000001688068,-12.40339124,-11.47767655,-11.47745973,-10.752702,-10.40868683,-10.40851411,-9.500358307,-8.731365278,-8.73124033,-0.557488984,-0.557378736,0.015162818,0.711990974,0.712097548,0.973305208,2.41670556,2.416830508,3.14337426,0.000110248
ZINC000001689598,-12.9659002,-12.91428928,-12.53616329,-11.65024089,-11.56587888,-11.4323498,-10.01639025,-9.200376314,-8.481877014,-0.17510005,0.165626045,1.149143922,2.021336724,3.114389978,3.727822633,4.026411822,4.146843407,4.57087313,0.340726095
ZINC000001689804,-13.30419715,-12.37128325,-12.02102803,-11.80109734,-11.79344611,-11.65728943,-9.376336301,-9.178253152,-9.095824161,-1.001095133,0.05333446,0.994594158,1.035205962,2.197090914,2.979321091,3.398911482,3.740012421,4.06189708,1.054429593
